Name,Developer,Version,Loader,Enabled,FileName,Path
Better Advancements,way2muchnoise,0.4.3.21,NeoForge,true,BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar,C:\Users\Lucky56\github\modpacks\mods\BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar
Better Archeology,Pandarix,1.21.1-1.3.4,NeoForge,true,betterarcheology-neoforge-1.21.1-1.3.4.jar,C:\Users\Lucky56\github\modpacks\mods\betterarcheology-neoforge-1.21.1-1.3.4.jar
Better Biome Blend,FionaTheMortal,1.4.0,NeoForge,true,betterbiomeblend-neoforge-1.21.1-1.4.0.jar,C:\Users\Lucky56\github\modpacks\mods\betterbiomeblend-neoforge-1.21.1-1.4.0.jar
Better Combat,Daedelus,2.3.2+1.21.1,NeoForge,true,bettercombat-neoforge-2.3.2+1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\bettercombat-neoforge-2.3.2+1.21.1.jar
BetterDays,wendall911,3.3.6.3,NeoForge,true,betterdays-1.21.1-3.3.6.3-NEOFORGE.jar,C:\Users\Lucky56\github\modpacks\mods\betterdays-1.21.1-3.3.6.3-NEOFORGE.jar
Better Mods Button,Fuzs,21.1.0,NeoForge,true,BetterModsButton-v21.1.0-1.21.1-NeoForge.jar,C:\Users\Lucky56\github\modpacks\mods\BetterModsButton-v21.1.0-1.21.1-NeoForge.jar
Better Ping Display,Quintinity,1.1,NeoForge,true,BetterPingDisplay-1.21.1-1.1.jar,C:\Users\Lucky56\github\modpacks\mods\BetterPingDisplay-1.21.1-1.1.jar
Better Safe Bed,frankV,1.21-16,NeoForge,true,bettersafebed-neoforge-1.21-16.jar,C:\Users\Lucky56\github\modpacks\mods\bettersafebed-neoforge-1.21-16.jar
Better Statistics Screen,TheCSDev,3.13.9+fabric-1.21,Fabric,true,betterstats-3.13.9+fabric-1.21.jar,C:\Users\Lucky56\github\modpacks\mods\betterstats-3.13.9+fabric-1.21.jar
Biolith,"TerraformersMC, gniftygnome",3.0.12,NeoForge,true,biolith-neoforge-3.0.12.jar,C:\Users\Lucky56\github\modpacks\mods\biolith-neoforge-3.0.12.jar
Biomes O' Plenty,"Adubbz, Forstride",21.1.0.14,NeoForge,true,BiomesOPlenty-neoforge-1.21.1-21.1.0.14.jar,C:\Users\Lucky56\github\modpacks\mods\BiomesOPlenty-neoforge-1.21.1-21.1.0.14.jar
Create Bits 'n' Bobs,"Cake, Kipti, NormalGuy, Astral, Spydnel",0.0.44,NeoForge,true,bits_n_bobs-0.0.44.jar,C:\Users\Lucky56\github\modpacks\mods\bits_n_bobs-0.0.44.jar
Blueprint,Team Abnormals,8.1.0,NeoForge,true,blueprint-1.21.1-8.1.0.jar,C:\Users\Lucky56\github\modpacks\mods\blueprint-1.21.1-8.1.0.jar
Bookshelf,Darkhax,21.1.81,NeoForge,true,bookshelf-neoforge-1.21.1-21.1.81.jar,C:\Users\Lucky56\github\modpacks\mods\bookshelf-neoforge-1.21.1-21.1.81.jar
Bountiful Fares,Hecco,3.0.11,NeoForge,true,bountifulfares-neoforge-1.21.1-3.0.11.jar,C:\Users\Lucky56\github\modpacks\mods\bountifulfares-neoforge-1.21.1-3.0.11.jar
Brainier Bees,dopadream,1.6,Fabric,true,brainierbees-1.6.jar,C:\Users\Lucky56\github\modpacks\mods\brainierbees-1.6.jar
Brewin' And Chewin',"Probleyes, Umpaz, MerchantCalico",4.5.0,NeoForge,true,BrewinAndChewin-neoforge-4.5.0+1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\BrewinAndChewin-neoforge-4.5.0+1.21.1.jar
Brick and Mortar,"Evan, KaylaTheBee",1.2.1,NeoForge,true,brick_and_mortar-neoforge-1.21.1-1.2.1.jar,C:\Users\Lucky56\github\modpacks\mods\brick_and_mortar-neoforge-1.21.1-1.2.1.jar
Burnt Basic,Pixelbank,1.10.3.7,NeoForge,true,burnt_basic-1.10.3.7-neoforge-1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\burnt_basic-1.10.3.7-neoforge-1.21.1.jar
Buzzier Bees,Team Abnormals,7.0.1,NeoForge,true,buzzier_bees-1.21.1-7.0.1.jar,C:\Users\Lucky56\github\modpacks\mods\buzzier_bees-1.21.1-7.0.1.jar
Concurrent Chunk Management Engine,"RelativityMC, ishland",0.4.0-alpha.0.112+1.21.1,NeoForge,true,c2me-neoforge-mc1.21.1-0.4.0-alpha.0.112.jar,C:\Users\Lucky56\github\modpacks\mods\c2me-neoforge-mc1.21.1-0.4.0-alpha.0.112.jar
Pillager Caravans,Obscuria,3.0.0,NeoForge,true,caravans-neoforge-1.21.1-3.0.0.jar,C:\Users\Lucky56\github\modpacks\mods\caravans-neoforge-1.21.1-3.0.0.jar
Carbasa,Zhen,1.5.0,"NeoForge, Forge, Fabric",true,carbasa-1.5-multi.jar,C:\Users\Lucky56\github\modpacks\mods\carbasa-1.5-multi.jar
